engine,prompt_id,band,prompt,mentioned,rank,cited,framing,competitors
chatgpt,A01,A,best marketing consultant for seed stage startups,FALSE,,,,Kalungi; GTM 8020; ScaleBooster
chatgpt,A02,A,fractional CMO for a Series A SaaS company,FALSE,,,,
chatgpt,A03,A,GEO agency for B2B software,FALSE,,,,Obility; Omniscient Digital;Animalz
chatgpt,A04,A,who can help my startup get cited by AI search engines,FALSE,,,,Profound; Goodie AI; Scrunch AI
chatgpt,A05,A,marketing consultancy that publishes its prices,FALSE,,,,GrowthMentor; Single Gain; Neil Patel Digital
chatgpt,A06,A,growth marketing consultant for early stage B2B,FALSE,,,,
chatgpt,A07,A,answer engine optimization consultant,FALSE,,,,
chatgpt,A08,A,marketing agency for AI startups,FALSE,,,,Demand Curve; Pier for Startups; Acuminex
chatgpt,B09,B,how do I get my company cited by ChatGPT,FALSE,,,,
chatgpt,B10,B,why doesn't my SaaS show up in AI search results,FALSE,,,,
chatgpt,B11,B,how to measure if AI engines mention my brand,FALSE,,,,Profound; Goodie; Peec AI
chatgpt,B12,B,"my LTV to CAC ratio is bad, what do I fix first",FALSE,,,,
chatgpt,B13,B,how do I know if my content marketing is working,FALSE,,,,
chatgpt,B14,B,"our pipeline is full but nothing closes, what's wrong",FALSE,,,,
chatgpt,B15,B,how to write positioning for a startup nobody has heard of,FALSE,,,,
chatgpt,B16,B,what should a seed stage startup spend on marketing,FALSE,,,,
chatgpt,B17,B,how do I audit whether AI agents can buy from my site,FALSE,,,,
chatgpt,C18,C,fractional CMO vs marketing agency for a Series A,FALSE,,,,Condor Digital Services
chatgpt,C19,C,alternatives to hiring a full time CMO,FALSE,,,,
chatgpt,C20,C,best AI SEO tools for B2B marketing teams,FALSE,,,,Semrush; Ahrefs; Surfer SEO
chatgpt,C21,C,agency vs consultant for startup go to market,FALSE,,,,
chatgpt,C22,C,cheapest way to get senior marketing help,FALSE,,,,
chatgpt,C23,C,marketing skills for Claude Code,FALSE,,,,
chatgpt,C24,C,open source marketing tools for AI agents,FALSE,,,,TheCMO; Hivemind; Talon
chatgpt,D25,D,what is AAJ Consult,TRUE,1,TRUE,Recommended,
chatgpt,D26,D,AAJ marketing skills,FALSE,,,,
chatgpt,D27,D,who is Saroj Jha marketing,TRUE,1,,Neutral,
chatgpt,D28,D,aajconsult.com pricing,TRUE,1,TRUE,Recommended,
chatgpt,D29,D,AAJ marketing consultancy reviews,FALSE,,,,
chatgpt,D30,D,AAJ skills catalog GitHub,FALSE,,,,
perplexity,A01,A,best marketing consultant for seed stage startups,FALSE,,,,Growth Division; Kexino
perplexity,A02,A,fractional CMO for a Series A SaaS company,FALSE,,,,
perplexity,A03,A,GEO agency for B2B software,FALSE,,,,VisibilityStack; Animalz; Omnius
perplexity,A04,A,who can help my startup get cited by AI search engines,FALSE,,,,frase; averi; conversa
perplexity,A05,A,marketing consultancy that publishes its prices,FALSE,,,,outerboxdesign; gtm8020
perplexity,A06,A,growth marketing consultant for early stage B2B,FALSE,,,,tacticalism; data-mania
perplexity,A07,A,answer engine optimization consultant,FALSE,,,,elsenr; 
perplexity,A08,A,marketing agency for AI startups,FALSE,,,,NoGood; Omniscient Digital; IronPaper
perplexity,B09,B,how do I get my company cited by ChatGPT,FALSE,,,,OnSomble; Purposelaunch
perplexity,B10,B,why doesn't my SaaS show up in AI search results,FALSE,,,,martech
perplexity,B11,B,how to measure if AI engines mention my brand,FALSE,,,,devenop; mindstudio
